sample_id,texture_class,image,setting,site,device,captured_at,quality_verdict,quality_flags,blur_score,mean_luminance,clipped_fraction,contrast_score,color_cast_score,specular_fraction,roi_side_px,source_format,source_group,source_width,source_height,sample_id_source
116515_4,Arenosa,images/Arenosa/116515_4.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119028_1,Arenosa,images/Arenosa/119028_1 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119028_1,Arenosa,images/Arenosa/119028_1.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119028_2,Arenosa,images/Arenosa/119028_2 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119028_2,Arenosa,images/Arenosa/119028_2.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119030_1,Arenosa,images/Arenosa/119030_1 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,1599,899,filename
119030_1,Arenosa,images/Arenosa/119030_1.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,1599,899,filename
119038_1,Arenosa,images/Arenosa/119038_1 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,900,1600,filename
119038_1,Arenosa,images/Arenosa/119038_1.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,900,1600,filename
119041_1,Arenosa,images/Arenosa/119041_1 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,900,1600,filename
119041_1,Arenosa,images/Arenosa/119041_1.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,900,1600,filename
burst-20231004-175040,Arenosa,images/Arenosa/IMG_8060.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-175040,Arenosa,images/Arenosa/IMG_8061.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-175040,Arenosa,images/Arenosa/IMG_8062.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-175442,Arenosa,images/Arenosa/IMG_8063.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-175442,Arenosa,images/Arenosa/IMG_8064.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-175442,Arenosa,images/Arenosa/IMG_8066.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-175442,Arenosa,images/Arenosa/IMG_8067.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-180308,Arenosa,images/Arenosa/IMG_8068.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-180308,Arenosa,images/Arenosa/IMG_8069.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-180308,Arenosa,images/Arenosa/IMG_8070.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-180308,Arenosa,images/Arenosa/IMG_8071.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-180745,Arenosa,images/Arenosa/IMG_8072.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-180745,Arenosa,images/Arenosa/IMG_8073.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-181614,Arenosa,images/Arenosa/IMG_8074.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-181614,Arenosa,images/Arenosa/IMG_8075.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-181614,Arenosa,images/Arenosa/IMG_8076.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-181920,Arenosa,images/Arenosa/IMG_8077.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-181920,Arenosa,images/Arenosa/IMG_8078.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-182259,Arenosa,images/Arenosa/IMG_8079.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-182259,Arenosa,images/Arenosa/IMG_8080.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-182729,Arenosa,images/Arenosa/IMG_8081.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-182729,Arenosa,images/Arenosa/IMG_8082.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-182729,Arenosa,images/Arenosa/IMG_8083.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-182729,Arenosa,images/Arenosa/IMG_8084.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-183108,Arenosa,images/Arenosa/IMG_8085.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-183108,Arenosa,images/Arenosa/IMG_8086.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-183651,Arenosa,images/Arenosa/IMG_8087.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-183651,Arenosa,images/Arenosa/IMG_8088.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-184605,Arenosa,images/Arenosa/IMG_8089.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-184605,Arenosa,images/Arenosa/IMG_8090.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-185624,Arenosa,images/Arenosa/IMG_8091.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-185624,Arenosa,images/Arenosa/IMG_8092.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-185624,Arenosa,images/Arenosa/IMG_8093.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-190005,Arenosa,images/Arenosa/IMG_8094.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-190005,Arenosa,images/Arenosa/IMG_8095.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-190005,Arenosa,images/Arenosa/IMG_8096.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-190344,Arenosa,images/Arenosa/IMG_8097.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-190344,Arenosa,images/Arenosa/IMG_8098.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-190737,Arenosa,images/Arenosa/IMG_8099.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-190737,Arenosa,images/Arenosa/IMG_8100.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
111930-33,Siltosa,images/Siltosa/111930-33 (1).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
111930-33,Siltosa,images/Siltosa/111930-33 (2).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
115158-2,Siltosa,images/Siltosa/115158-2 (1).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
115158-2,Siltosa,images/Siltosa/115158-2 (2).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
116201-8,Siltosa,images/Siltosa/116201-8 (1).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
116201-8,Siltosa,images/Siltosa/116201-8 (2).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
112098-3,Media,images/Media/112098-3 (1).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
112098-3,Media,images/Media/112098-3 (2).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,2048,1536,filename
112098-3,Media,images/Media/112098-3 (3).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,2048,1536,filename
112098-3,Media,images/Media/112098-3 (4).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,2048,1536,filename
113266-1,Media,images/Media/113266-1 (1).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
113266-1,Media,images/Media/113266-1 (2).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
113880-2,Media,images/Media/113880-2 (1).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
113880-2,Media,images/Media/113880-2 (2).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
113880-2,Media,images/Media/113880-2 (3).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
116520_1,Media,images/Media/116520_1 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,900,1600,filename
116520_1,Media,images/Media/116520_1.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,900,1600,filename
116528_1,Media,images/Media/116528_1.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
burst-20231004-193103,Media,images/Media/IMG_8102.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-193413,Media,images/Media/IMG_8104.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,4032,3024,capture-burst
burst-20231004-193413,Media,images/Media/IMG_8105.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-193722,Media,images/Media/IMG_8106.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-194027,Media,images/Media/IMG_8108.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-194812,Media,images/Media/IMG_8110.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-195045,Media,images/Media/IMG_8112.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-195045,Media,images/Media/IMG_8113.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-195402,Media,images/Media/IMG_8118.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-195402,Media,images/Media/IMG_8119.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-195618,Media,images/Media/IMG_8120.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-195618,Media,images/Media/IMG_8121.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-195834,Media,images/Media/IMG_8122.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-195834,Media,images/Media/IMG_8123.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-200035,Media,images/Media/IMG_8124.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-200035,Media,images/Media/IMG_8125.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-200301,Media,images/Media/IMG_8126.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-200301,Media,images/Media/IMG_8127.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-200552,Media,images/Media/IMG_8128.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-200552,Media,images/Media/IMG_8129.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-201749,Media,images/Media/IMG_8131.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-201749,Media,images/Media/IMG_8132.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-202054,Media,images/Media/IMG_8133.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-202054,Media,images/Media/IMG_8134.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-202539,Media,images/Media/IMG_8135.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-202539,Media,images/Media/IMG_8136.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-202735,Media,images/Media/IMG_8137.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-202735,Media,images/Media/IMG_8138.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-203012,Media,images/Media/IMG_8139.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231004-203012,Media,images/Media/IMG_8140.png,dish,unknown,iphone-11,2023-10-04,,,,,,,,,,heic,C,3024,4032,capture-burst
111800-2,Argilosa,images/Argilosa/111800-2 (1).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
111800-2,Argilosa,images/Argilosa/111800-2 (2).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
111800-2,Argilosa,images/Argilosa/111800-2 (3).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
111911-19,Argilosa,images/Argilosa/111911-19 (1).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
111911-19,Argilosa,images/Argilosa/111911-19 (2).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
112427-6,Argilosa,images/Argilosa/112427-6 (1).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
112427-6,Argilosa,images/Argilosa/112427-6 (2).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
116520_2,Argilosa,images/Argilosa/116520_2 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
116520_2,Argilosa,images/Argilosa/116520_2.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,900,1600,filename
119026_1,Argilosa,images/Argilosa/119026_1 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,900,1600,filename
119026_1,Argilosa,images/Argilosa/119026_1.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119026_10,Argilosa,images/Argilosa/119026_10 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,1599,899,filename
119026_10,Argilosa,images/Argilosa/119026_10.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,1599,899,filename
119026_11,Argilosa,images/Argilosa/119026_11 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119026_11,Argilosa,images/Argilosa/119026_11.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119026_12,Argilosa,images/Argilosa/119026_12 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119026_12,Argilosa,images/Argilosa/119026_12.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119026_13,Argilosa,images/Argilosa/119026_13 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,900,1600,filename
119026_13,Argilosa,images/Argilosa/119026_13.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,900,1600,filename
119026_14,Argilosa,images/Argilosa/119026_14 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119026_14,Argilosa,images/Argilosa/119026_14.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119026_15,Argilosa,images/Argilosa/119026_15.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119026_16,Argilosa,images/Argilosa/119026_16 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119026_16,Argilosa,images/Argilosa/119026_16.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,900,1600,filename
119026_2,Argilosa,images/Argilosa/119026_2 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,720,1280,filename
119026_2,Argilosa,images/Argilosa/119026_2.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,720,1280,filename
119026_3,Argilosa,images/Argilosa/119026_3 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119026_3,Argilosa,images/Argilosa/119026_3.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119026_4,Argilosa,images/Argilosa/119026_4 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119026_4,Argilosa,images/Argilosa/119026_4.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119026_5,Argilosa,images/Argilosa/119026_5 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,1599,899,filename
119026_5,Argilosa,images/Argilosa/119026_5.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,1599,899,filename
119026_6,Argilosa,images/Argilosa/119026_6 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119026_6,Argilosa,images/Argilosa/119026_6.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119026_7,Argilosa,images/Argilosa/119026_7 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119026_7,Argilosa,images/Argilosa/119026_7.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,899,1599,filename
119026_8,Argilosa,images/Argilosa/119026_8 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,900,1600,filename
119026_8,Argilosa,images/Argilosa/119026_8.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,900,1600,filename
119026_9,Argilosa,images/Argilosa/119026_9 (2).jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,720,1280,filename
119026_9,Argilosa,images/Argilosa/119026_9.jpeg,dish,unknown,unknown,unknown,,,,,,,,,,jpeg,B,720,1280,filename
burst-20231005-180053,Argilosa,images/Argilosa/IMG_8202.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-180628,Argilosa,images/Argilosa/IMG_8204.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-181514,Argilosa,images/Argilosa/IMG_8206.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-201241,Argilosa,images/Argilosa/IMG_8219.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-201241,Argilosa,images/Argilosa/IMG_8220.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-201645,Argilosa,images/Argilosa/IMG_8221.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-201645,Argilosa,images/Argilosa/IMG_8222.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-202518,Argilosa,images/Argilosa/IMG_8223.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-202518,Argilosa,images/Argilosa/IMG_8224.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-202817,Argilosa,images/Argilosa/IMG_8226.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-202817,Argilosa,images/Argilosa/IMG_8227.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-203123,Argilosa,images/Argilosa/IMG_8228.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-203123,Argilosa,images/Argilosa/IMG_8229.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-203536,Argilosa,images/Argilosa/IMG_8230.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-203536,Argilosa,images/Argilosa/IMG_8231.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-204116,Argilosa,images/Argilosa/IMG_8232.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-204116,Argilosa,images/Argilosa/IMG_8233.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-204625,Argilosa,images/Argilosa/IMG_8234.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-204625,Argilosa,images/Argilosa/IMG_8235.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-204906,Argilosa,images/Argilosa/IMG_8236.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-204906,Argilosa,images/Argilosa/IMG_8237.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-210548,Argilosa,images/Argilosa/IMG_8238.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
burst-20231005-210548,Argilosa,images/Argilosa/IMG_8239.png,dish,unknown,iphone-11,2023-10-05,,,,,,,,,,heic,C,3024,4032,capture-burst
116876-3,Muito Argilosa,images/Muito_Argilosa/116876-3 (1).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
116876-3,Muito Argilosa,images/Muito_Argilosa/116876-3 (2).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
116876-6,Muito Argilosa,images/Muito_Argilosa/116876-6 (1).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
116876-6,Muito Argilosa,images/Muito_Argilosa/116876-6 (2).JPEG,dish,unknown,iphone-11,2023-11-22,,,,,,,,,,jpeg,A,1536,2048,filename
